zaimek pytajny,46
przysłówek,2850
operator metapredykatywny,306
włącznik,6
czasownik,17202
przymiotnik,7696
wykrzyknik,196
liczebnik,102
komentarz metatekstowy,216
przyimek,258
partykuła,232
,458
modyfikator deklaratywności,42
spójnik,69
relator,31
nie określono,5
rzeczownik,25404
